Vecka	Säsong	Typ av influensa	Indikator	Åldersgrupp	Kön	Influensa, fall efter ålder, kön och vecka (säsong).
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	5.5
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	6.4
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	9.2
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	5.2
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	7.0
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	6.5
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	34.9
v 06	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	38.4
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	13.7
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	14.8
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	6.8
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	6.6
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	8.5
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	4.9
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	7.3
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	6.5
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	40.8
v 07	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	44.1
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Kvinnor	11.0
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	0-4 år	Män	10.8
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Kvinnor	4.8
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	5-14 år	Män	4.6
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Kvinnor	7.0
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	15-39 år	Män	3.9
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Kvinnor	8.6
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	40-64 år	Män	6.1
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Kvinnor	40.8
v 08	2025-2026	Influensa A	Antal fall per 100 000 inv	65- år	Män	43.3
