Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2004;Kvinnor;30­34;0,00;5,99;16,98
2004;Kvinnor;35­39;0,31;3,42;17,40
2004;Kvinnor;40­44;0,00;4,72;32,67
2004;Kvinnor;45­49;0,00;7,62;39,15
2004;Kvinnor;50­54;0,00;7,88;47,96
2004;Kvinnor;55­59;0,31;11,54;67,68
2004;Kvinnor;60­64;1,15;29,23;83,45
2004;Kvinnor;65­69;0,00;23,68;124,19
2004;Kvinnor;70­74;0,00;19,65;186,95
2004;Kvinnor;75­79;0,56;33,38;236,43
2004;Kvinnor;80­84;0,00;53,24;392,11
2004;Kvinnor;85+;1,36;72,05;489,41
2003;Män;0­4;2,91;4,16;22,90
2003;Män;5­9;1,14;1,90;8,35
2003;Män;10­14;1,25;0,31;12,80
2003;Män;15­19;1,08;0,00;7,17
2003;Män;20­24;0,76;1,89;9,46
2003;Män;25­29;0,70;2,10;10,13
2003;Män;30­34;0,32;3,87;15,78
2003;Män;35­39;0,00;10,86;13,21
2003;Män;40­44;0,33;6,96;26,51
2003;Män;45­49;0,00;10,44;35,03
2003;Män;50­54;0,33;13,18;59,96
2003;Män;55­59;0,92;16,59;84,20
2003;Män;60­64;0,41;27,20;131,14
2003;Män;65­69;1,06;24,92;182,93
2003;Män;70­74;0,00;39,47;323,15
2003;Män;75­79;0,00;47,56;469,85
2003;Män;80­84;0,00;93,05;750,24
2003;Män;85+;0,00;103,05;1159,28
2003;Kvinnor;0­4;2,20;3,52;12,75
2003;Kvinnor;5­9;0,80;1,20;12,75
2003;Kvinnor;10­14;0,99;0,66;6,60
2003;Kvinnor;15­19;4,93;0,76;13,65
2003;Kvinnor;20­24;0,79;1,18;12,97
2003;Kvinnor;25­29;0,36;1,45;13,40
2003;Kvinnor;30­34;0,00;4,00;15,01
2003;Kvinnor;35­39;0,92;6,78;18,79
2003;Kvinnor;40­44;0,00;5,87;29,34
2003;Kvinnor;45­49;0,35;7,27;31,51
2003;Kvinnor;50­54;0,00;9,72;51,97
2003;Kvinnor;55­59;0,31;14,39;62,90
2003;Kvinnor;60­64;0,00;18,73;83,46
2003;Kvinnor;65­69;0,00;23,82;126,56
2003;Kvinnor;70­74;0,00;32,41;181,39
2003;Kvinnor;75­79;1,10;32,88;241,66
2003;Kvinnor;80­84;0,63;51,81;360,17
2003;Kvinnor;85+;2,06;59,87;465,19
2002;Män;0­4;2,54;5,93;19,92
2002;Män;5­9;0,72;0,72;7,21
2002;Män;10­14;2,22;0,00;9,81
2002;Män;15­19;1,11;0,37;7,40
2002;Män;20­24;0,38;2,28;11,80
2002;Män;25­29;0,34;0,68;13,33
2002;Män;30­34;0,00;7,66;14,68
2002;Män;35­39;0,30;6,82;19,56
2002;Män;40­44;0,00;7,05;29,54
2002;Män;45­49;0,34;9,09;30,29
2002;Män;50­54;0,00;8,69;49,58
2002;Män;55­59;0,63;14,70;77,55
2002;Män;60­64;0,00;15,90;126,77
2002;Män;65­69;0,54;23,92;197,32
2002;Män;70­74;0,61;42,27;304,43
2002;Män;75­79;0,00;50,44;435,50
2002;Män;80­84;0,00;78,98;679,26
2002;Män;85+;3,09;135,83;1011,00
2002;Kvinnor;0­4;0,00;3,14;23,74
2002;Kvinnor;5­9;0,76;0,38;6,80
2002;Kvinnor;10­14;0,00;0,33;2,68
2002;Kvinnor;15­19;2,35;1,17;10,57
2002;Kvinnor;20­24;1,58;1,18;10,26
2002;Kvinnor;25­29;0,35;1,06;16,29
2002;Kvinnor;30­34;0,00;5,30;12,92
2002;Kvinnor;35­39;0,00;4,05;20,27
2002;Kvinnor;40­44;0,35;5,23;27,88
2002;Kvinnor;45­49;0,00;6,23;33,23
2002;Kvinnor;50­54;0,33;7,53;37,65
2002;Kvinnor;55­59;0,96;13,43;46,70
2002;Kvinnor;60­64;0,00;18,40;76,58
2002;Kvinnor;65­69;0,00;15,62;104,33
2002;Kvinnor;70­74;1,54;26,77;168,37
2002;Kvinnor;75­79;0,00;37,75;226,48
2002;Kvinnor;80­84;1,28;49,75;301,69
2002;Kvinnor;85+;2,08;69,44;432,61
2001;Män;0­4;4,69;6,39;18,76
2001;Män;5­9;0,34;0,68;9,90
2001;Män;10­14;0,33;0,65;4,57
2001;Män;15­19;1,89;2,27;10,22
2001;Män;20­24;1,14;2,28;8,75
2001;Män;25­29;0,67;4,02;10,72
2001;Män;30­34;0,00;4,72;12,26
2001;Män;35­39;0,30;8,82;15,20
2001;Män;40­44;0,34;8,07;22,20
2001;Män;45­49;0,00;9,45;30,72
2001;Män;50­54;0,63;12,22;48,56
2001;Män;55­59;0,33;14,96;75,44
2001;Män;60­64;0,90;20,18;107,63
2001;Män;65­69;1,10;29,75;173,53
2001;Män;70­74;1,22;42,70;276,96
2001;Män;75­79;0,00;52,29;409,28
2001;Män;80­84;0,00;78,19;683,42
2001;Män;85+;1,57;94,31;903,79
2001;Kvinnor;0­4;4,05;4,50;15,30
2001;Kvinnor;5­9;0,00;0,72;8,25
2001;Kvinnor;10­14;0,69;0,00;6,54
2001;Kvinnor;15­19;6,01;0,80;14,03
2001;Kvinnor;20­24;1,97;1,97;9,87
2001;Kvinnor;25­29;0,00;2,78;12,15
