Sex	Age	Year	Month	J09	J10	J11
M	10–14	2000	April	0	0	0
M	10–14	2000	Maj	0	0	0
M	10–14	2000	Juni	0	0	0
M	10–14	2000	Juli	0	0	0
M	10–14	2000	Augusti	0	0	0
M	10–14	2000	September	0	0	0
M	10–14	2000	Oktober	0	0	0
M	10–14	2000	November	0	0	0
M	10–14	2000	December	0	0	0
M	10–14	2001	Januari	0	0	0
M	10–14	2001	Februari	0	2	1
M	10–14	2001	Mars	0	3	3
M	10–14	2001	April	0	1	0
M	10–14	2001	Maj	0	0	1
M	10–14	2001	Juni	0	0	0
M	10–14	2001	Juli	0	0	0
M	10–14	2001	Augusti	0	0	0
M	10–14	2001	September	0	0	0
M	10–14	2001	Oktober	0	0	0
M	10–14	2001	November	0	0	0
M	10–14	2001	December	0	0	0
M	10–14	2002	Januari	0	0	0
M	10–14	2002	Februari	0	0	0
M	10–14	2002	Mars	0	1	1
M	10–14	2002	April	0	0	0
M	10–14	2002	Maj	0	0	0
M	10–14	2002	Juni	0	0	0
M	10–14	2002	Juli	0	0	0
M	10–14	2002	Augusti	0	0	0
M	10–14	2002	September	0	0	0
M	10–14	2002	Oktober	0	0	0
M	10–14	2002	November	0	0	0
M	10–14	2002	December	0	0	0
M	10–14	2003	Januari	0	0	1
M	10–14	2003	Februari	0	1	2
M	10–14	2003	Mars	0	1	0
M	10–14	2003	April	0	0	1
M	10–14	2003	Maj	0	0	0
M	10–14	2003	Juni	0	0	0
M	10–14	2003	Juli	0	0	0
M	10–14	2003	Augusti	0	0	0
M	10–14	2003	September	0	0	0
M	10–14	2003	Oktober	0	0	0
M	10–14	2003	November	0	2	0
M	10–14	2003	December	0	4	4
M	10–14	2004	Januari	0	2	0
M	10–14	2004	Februari	0	1	0
M	10–14	2004	Mars	0	0	0
M	10–14	2004	April	0	0	0
M	10–14	2004	Maj	0	0	1
M	10–14	2004	Juni	0	0	0
M	10–14	2004	Juli	0	0	0
M	10–14	2004	Augusti	0	0	0
M	10–14	2004	September	0	0	1
M	10–14	2004	Oktober	0	0	0
M	10–14	2004	November	0	0	0
M	10–14	2004	December	0	0	0
M	10–14	2005	Januari	0	1	2
M	10–14	2005	Februari	0	0	0
M	10–14	2005	Mars	0	0	2
M	10–14	2005	April	0	0	1
M	10–14	2005	Maj	0	0	0
M	10–14	2005	Juni	0	0	0
M	10–14	2005	Juli	0	0	0
M	10–14	2005	Augusti	0	0	0
M	10–14	2005	September	0	0	0
M	10–14	2005	Oktober	0	0	0
M	10–14	2005	November	0	0	1
M	10–14	2005	December	0	0	0
M	10–14	2006	Januari	0	0	0
M	10–14	2006	Februari	0	0	0
M	10–14	2006	Mars	0	2	2
M	10–14	2006	April	0	1	1
M	10–14	2006	Maj	0	0	0
M	10–14	2006	Juni	0	0	0
M	10–14	2006	Juli	0	0	0
M	10–14	2006	Augusti	0	0	0
M	10–14	2006	September	0	0	0
M	10–14	2006	Oktober	0	0	0
M	10–14	2006	November	0	0	0
M	10–14	2006	December	0	0	1
M	10–14	2007	Januari	0	0	0
M	10–14	2007	Februari	0	2	3
M	10–14	2007	Mars	0	2	0
M	10–14	2007	April	0	2	0
M	10–14	2007	Maj	0	0	0
M	10–14	2007	Juni	0	0	0
M	10–14	2007	Juli	0	0	0
M	10–14	2007	Augusti	0	0	0
M	10–14	2007	September	0	0	0
M	10–14	2007	Oktober	0	0	0
M	10–14	2007	November	0	0	0
M	10–14	2007	December	0	0	0
M	10–14	2008	Januari	0	0	0
M	10–14	2008	Februari	0	3	0
M	10–14	2008	Mars	0	0	0
M	10–14	2008	April	0	0	0
M	10–14	2008	Maj	0	0	0
M	10–14	2008	Juni	0	0	0
M	10–14	2008	Juli	0	0	0
M	10–14	2008	Augusti	0	0	0
M	10–14	2008	September	0	0	0
M	10–14	2008	Oktober	0	0	1
M	10–14	2008	November	0	0	0
M	10–14	2008	December	0	0	1
M	10–14	2009	Januari	0	0	0
M	10–14	2009	Februari	0	2	0
M	10–14	2009	Mars	0	0	0
M	10–14	2009	April	0	0	1
M	10–14	2009	Maj	0	0	0
M	10–14	2009	Juni	0	0	0
M	10–14	2009	Juli	0	0	0
M	10–14	2009	Augusti	0	0	0
M	10–14	2009	September	1	0	0
M	10–14	2009	Oktober	8	1	0
M	10–14	2009	November	16	2	2
M	10–14	2009	December	1	0	0
M	10–14	2010	Januari	0	0	0
M	10–14	2010	Februari	0	0	0
M	10–14	2010	Mars	0	0	0
M	10–14	2010	April	0	1	0
M	10–14	2010	Maj	0	0	0
M	10–14	2010	Juni	0	0	0
M	10–14	2010	Juli	0	0	0
M	10–14	2010	Augusti	0	0	0
M	10–14	2010	September	0	0	0
M	10–14	2010	Oktober	0	0	0
M	10–14	2010	November	0	0	0
M	10–14	2010	December	0	0	0
M	10–14	2011	Januari	0	0	2
M	10–14	2011	Februari	1	1	0
M	10–14	2011	Mars	0	2	1
M	10–14	2011	April	0	0	0
M	10–14	2011	Maj	0	0	0
M	10–14	2011	Juni	0	0	0
M	10–14	2011	Juli	0	0	0
M	10–14	2011	Augusti	0	0	0
M	10–14	2011	September	0	0	0
M	10–14	2011	Oktober	0	0	0
M	10–14	2011	November	0	0	1
M	10–14	2011	December	0	0	0
M	10–14	2012	Januari	0	0	0
M	10–14	2012	Februari	0	4	1
M	10–14	2012	Mars	2	2	2
M	10–14	2012	April	0	1	0
M	10–14	2012	Maj	0	0	0
M	10–14	2012	Juni	0	0	0
