ctry,yr,li,age,sex,ca1,ca2,rat
4290,1999,10,25,2,187,3029,0.061737
4290,2000,10,1,1,6553,45710,0.14336
4290,2000,10,1,2,5040,47806,0.105426
4290,2000,10,2,1,0,186,0
4290,2000,10,2,2,0,123,0
4290,2000,10,3,1,0,13,0
4290,2000,10,3,2,0,7,0
4290,2000,10,4,1,0,4,0
4290,2000,10,4,2,0,6,0
4290,2000,10,5,1,0,4,0
4290,2000,10,5,2,0,2,0
4290,2000,10,6,1,0,4,0
4290,2000,10,6,2,0,6,0
4290,2000,10,7,1,0,30,0
4290,2000,10,7,2,0,28,0
4290,2000,10,8,1,0,41,0
4290,2000,10,8,2,0,36,0
4290,2000,10,9,1,0,124,0
4290,2000,10,9,2,1,57,0.017544
4290,2000,10,10,1,0,202,0
4290,2000,10,10,2,0,63,0
4290,2000,10,11,1,2,223,0.008969
4290,2000,10,11,2,0,75,0
4290,2000,10,12,1,5,246,0.020325
4290,2000,10,12,2,1,87,0.011494
4290,2000,10,13,1,14,315,0.044444
4290,2000,10,13,2,3,200,0.015
4290,2000,10,14,1,27,457,0.059081
4290,2000,10,14,2,5,269,0.018587
4290,2000,10,15,1,85,774,0.109819
